Αγαυη	Ἀγαύη
δηιοτής	δηιοτής
δήμος	δῆμος
δῆνος	δῆνος
δήω	δήω
διὲξ	διέξ
διερὸς	διερός
διονύσος	Διόνυσος
δῖός	δῖος
διχθαδίος	διχθαδίος
δμῳά	δμῶα
δμωὶς	δμωίς
δολῖος	δόλιος
δρύς	δρῦς
δύστηνος	δύστηνος
ἐδωδὴ	ἐδωδή
ἐέλδομαι	ἔελδομαι
ἐέρσῃ	ἐέρση
εἶαρ	εἴαρ
εἰαρινὸς	εἰαρινός
εἴδω	εἴδω
εἰδώλον	εἴδωλον
εἴκω	εἴκω
εἰνάλιος	εἰνάλιος
εἵς	εἷς
ἒκ	ἐκ
ἐλάφος	ἔλαφος
ἐλίσσω	ἑλίσσω
έν	ἐν
ἔναυλος	ἐναύλος
ἔντος	ἐντός
ἐπαίσσω	ἐπαΐσσω
ἐπέιγω	ἐπείγω
ἐπέρχομαι	ἐπέρχομαι
ἐπηετανός	ἐπηετανός
ἐπιχθόνιος	ἐπιχθόνιος
ἐπουράνιος	ἐπουράνιος
ἐρέιδω	ἐρείδω
ἐρετμά	ἐρετμά
ἐρεύγω	ἐρεύγω
ἐρήμος	ἐρήμος
ἑσμὸς	ἑσμός
ἑσπέριος	ἑσπέριος
ἔστεπτω	ἐστέπτω
ἐσχαρεῶν	ἐσχαρεών
ἑτέρος	ἕτερος
ἐυ	εὖ
εὔθρονος	εὔθρονος
ἐϋπλόκαμος	εὐπλόκαμος
εὐπύργος	εὔπυργος
ἐύπωλος	εὔπωλος
ἑύς	 ἐύς
ἐυσταθής	ἐυσταθής
ἐυτροχάλος	ἐυτρόχαλος
εὐφραίνω	εὐφραίνω
ἐυφρονέων	εὐφρονέων
εὐφροσύνη	εὐφροσύνη
εΰφρων	εὔφρων
ἐφετμῇ	ἐφετμή
ζυγῖος	ζύγιος
ἤβη	ἥβη
ἡβητὴρ	ἡβητήρ
ἡδέϊ	ἡδεῖ
ἠέριος	ἠέριος
ὴθάς	ἠθάς
ἠΐθεός	ἠΐθεος
ἠιθέω	ἠιθέω
ἡμιθανής	ἡμιθανής
ἧχι	ἧχι
ἠχώ	ἠχώ
ἠώς	ἠώς
θαλάμος	θάλαμος
θαλύσια	θαλύσια
θέαινα	θεαῖνα
θεσμὸς	θεσμός
θεσπεσῖος	θεσπέσιος
θῆρα	θήρα
ἱμάσθλῃ	ἱμάσθλη
ἱμερτής	ἱμερτής
ἵνά	ἵνα
ἰοχεαίρη	ἰοχεαίρη
ἵππειος	ἵππειος
ἰώ	ἰώ
καί	καί
κάλυπτω	καλύπτω
καμάτος	κάματος
κάρηνον	κάρηνον
καρτερός	καρτερός
κείρω	κείρω
κέλευθος	κέλευθος
κεράα	κεράα
κεραῖα	κεραία
κεραίῃ	κεραίη
κεστὸς	κεστός
κῆπος	κῆπος
κῆτος	κῆτος
κινυρή	κινυρή
κληῗς	κληῖς
κλῆρος	κλῆρος
κνημίς	κνημίς
κοίλῃ	κοίλη
κοίτος	κοίτος
κολῶνη	κολώνη
κομή	κόμη
κορυθαιόλος	κορυθαίολος
κόρυμβος	κόρυμβος
κούρητες	Κουρῆτες
κουριδῖος	κουρίδιος
